Time,Open,High,Low,Last,Change,%Chg,Volume
02/26/2013,30.95,30.95,30.95,30.95,0.91,+3.03%,49486
02/25/2013,30.04,30.04,30.04,30.04,-0.4,-1.31%,29654
02/22/2013,30.44,30.44,30.44,30.44,0.76,+2.56%,76380
02/21/2013,29.68,29.68,29.68,29.68,0.21,+0.71%,40154
02/20/2013,29.47,29.47,29.47,29.47,1.29,+4.58%,42610
02/19/2013,28.18,28.18,28.18,28.18,1.45,+5.42%,112748
02/18/2013,26.73,26.73,26.73,26.73,-0.22,-0.82%,34430
02/15/2013,26.95,26.95,26.95,26.95,1.54,+6.06%,58500
02/14/2013,25.41,25.41,25.41,25.41,-0.06,-0.24%,162322
02/13/2013,25.47,25.47,25.47,25.47,0.41,+1.64%,97712
02/12/2013,25.06,25.06,25.06,25.06,1.02,+4.24%,86861
02/11/2013,24.04,24.04,24.04,24.04,1.64,+7.32%,35955
02/08/2013,22.4,22.4,22.4,22.4,0.85,+3.94%,53217
02/07/2013,21.55,21.55,21.55,21.55,0.51,+2.42%,73906
02/06/2013,21.04,21.04,21.04,21.04,0.51,+2.48%,59689
02/05/2013,20.53,20.53,20.53,20.53,0.12,+0.59%,33856
02/04/2013,20.41,20.41,20.41,20.41,-0.29,-1.40%,58736
02/01/2013,20.7,20.7,20.7,20.7,0.17,+0.83%,56242
01/31/2013,20.53,20.53,20.53,20.53,1.1,+5.66%,110064
01/30/2013,19.43,19.43,19.43,19.43,0.29,+1.52%,50810
01/29/2013,19.14,19.14,19.14,19.14,0.85,+4.65%,98624
01/28/2013,18.29,18.29,18.29,18.29,1.6,+9.59%,66003
01/25/2013,16.69,16.69,16.69,16.69,-1.08,-6.08%,89205
01/24/2013,17.77,17.77,17.77,17.77,0.57,+3.31%,196389
01/23/2013,17.2,17.2,17.2,17.2,0.07,+0.41%,58030
01/22/2013,17.13,17.13,17.13,17.13,0.78,+4.77%,68354
01/21/2013,16.35,16.35,16.35,16.35,0.71,+4.54%,75082
01/18/2013,15.64,15.64,15.64,15.64,0.5,+3.30%,65804
01/17/2013,15.14,15.14,15.14,15.14,0.65,+4.49%,73813
01/16/2013,14.49,14.49,14.49,14.49,0.3,+2.11%,53761
01/15/2013,14.19,14.19,14.19,14.19,0,0.00%,58577
01/14/2013,14.19,14.19,14.19,14.19,0.09,+0.64%,28207
01/11/2013,14.1,14.1,14.1,14.1,0.08,+0.57%,44372
01/10/2013,14.02,14.02,14.02,14.02,0.33,+2.41%,60056
01/09/2013,13.69,13.69,13.69,13.69,0.03,+0.22%,35186
01/08/2013,13.66,13.66,13.66,13.66,0.22,+1.64%,52161
01/07/2013,13.44,13.44,13.44,13.44,0.06,+0.45%,32429
01/04/2013,13.38,13.38,13.38,13.38,0.06,+0.45%,34172
01/03/2013,13.32,13.32,13.32,13.32,0.03,+0.23%,22634
01/02/2013,13.29,13.29,13.29,13.29,-0.02,-0.15%,20313
01/01/2013,13.31,13.31,13.31,13.31,-0.13,-0.97%,31854
12/31/2012,13.44,13.44,13.44,13.44,0.06,+0.45%,17897
12/28/2012,13.38,13.38,13.38,13.38,0.06,+0.45%,30945
12/27/2012,13.32,13.32,13.32,13.32,0.02,+0.15%,24557
12/26/2012,13.3,13.3,13.3,13.3,0.01,+0.08%,19007
12/25/2012,13.29,13.29,13.29,13.29,-0.05,-0.37%,15643
12/24/2012,13.34,13.34,13.34,13.34,-0.11,-0.82%,19563
12/21/2012,13.45,13.45,13.45,13.45,0,0.00%,31066
12/20/2012,13.45,13.45,13.45,13.45,0.11,+0.82%,41103
